,VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies
0,Luxembourg,31/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",114 €,5h 15m,13:45,18:00,1 escale,Plusieurs compagnies
1,Luxembourg,31/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",110 €,6h 45m,16:45,22:30,1 escale,Plusieurs compagnies
2,Luxembourg,31/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",114 €,6h 45m,17:00,22:45,1 escale,Plusieurs compagnies
3,Luxembourg,31/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",119 €,8h 40m,11:15,18:55,1 escale,Plusieurs compagnies
4,Luxembourg,31/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",167 €,6h 15m,15:55,21:10,1 escale,Plusieurs compagnies
5,Luxembourg,31/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",178 €,6h 20m,11:20,16:40,1 escale,Plusieurs compagnies
6,Luxembourg,31/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",186 €,6h 10m,14:10,19:20,1 escale,Plusieurs compagnies
7,Luxembourg,31/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",172 €,7h 10m,11:55,18:05,1 escale,Plusieurs compagnies
8,Luxembourg,31/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",234 €,5h 25m,14:50,19:15,1 escale,Plusieurs compagnies
9,Luxembourg,31/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",172 €,7h 25m,07:55,14:20,1 escale,Plusieurs compagnies
10,Luxembourg,31/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",214 €,6h 15m,15:55,21:10,1 escale,Plusieurs compagnies
11,Luxembourg,31/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",195 €,7h 0m,09:50,15:50,1 escale,Plusieurs compagnies
12,Luxembourg,31/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",249 €,5h 45m,11:00,15:45,1 escale,Plusieurs compagnies
13,Luxembourg,31/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",115 €,12h 45m,11:00,22:45,1 escale,Plusieurs compagnies
14,Luxembourg,31/01/2023,"Aéroport international Mohammed-V de Casablanca, Casablanca, Maroc","Aéroport international de Gatwick, Londres, Angleterre, Royaume-Uni",180 €,8h 20m,12:55,20:15,1 escale,Plusieurs compagnies
