,VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies
0,Liechtenstein,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",908 €,33h 0m,12:30,07:30,2 escales,Plusieurs compagnies
1,Liechtenstein,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 047 €,36h 45m,14:15,13:00,3 escales,Plusieurs compagnies
2,Liechtenstein,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 538 €,25h 10m,21:00,08:10,1 escale,Air India
3,Liechtenstein,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 098 €,35h 40m,15:20,13:00,3 escales,Plusieurs compagnies
4,Liechtenstein,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 308 €,30h 0m,18:55,10:55,2 escales,Plusieurs compagnies
5,Liechtenstein,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 199 €,32h 55m,18:05,13:00,3 escales,Plusieurs compagnies
6,Liechtenstein,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 245 €,31h 45m,21:00,14:45,3 escales,Plusieurs compagnies
7,Liechtenstein,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 280 €,31h 0m,13:15,06:15,2 escales,Plusieurs compagnies
8,Liechtenstein,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 308 €,31h 20m,17:35,10:55,2 escales,Plusieurs compagnies
9,Liechtenstein,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 324 €,31h 0m,17:55,10:55,2 escales,Plusieurs compagnies
10,Liechtenstein,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 245 €,33h 0m,21:00,16:00,3 escales,Plusieurs compagnies
11,Liechtenstein,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 980 €,21h 15m,10:40,17:55,1 escale,Singapore Airlines
12,Liechtenstein,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 245 €,34h 40m,21:00,17:40,3 escales,Plusieurs compagnies
13,Liechtenstein,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 800 €,24h 0m,09:30,19:30,1 escale,Etihad Airways
14,Liechtenstein,30/01/2023,"Aéroport de Paris Charles de Gaulle, Paris, France","Aéroport Kingsford Smith de Sydney, Sydney, Nouvelles Galles du Sud, Australie",1 308 €,33h 25m,15:30,10:55,2 escales,Plusieurs compagnies
