,VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies
0,Luxembourg,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",337 €,12h 15m,22:45,18:00,1 escale,TAP Air Portugal
1,Luxembourg,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",301 €,15h 30m,21:45,20:15,1 escale,Plusieurs compagnies
2,Luxembourg,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",349 €,14h 45m,21:45,19:30,1 escale,Plusieurs compagnies
3,Luxembourg,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",337 €,17h 20m,17:40,18:00,1 escale,TAP Air Portugal
4,Luxembourg,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",395 €,15h 45m,22:45,21:30,2 escales,TAP Air Portugal
5,Luxembourg,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",505 €,13h 5m,21:45,17:50,1 escale,Plusieurs compagnies
6,Luxembourg,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",472 €,14h 0m,23:15,20:15,1 escale,Plusieurs compagnies
7,Luxembourg,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",601 €,11h 0m,20:05,14:05,1 escale,Air Canada
8,Luxembourg,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",602 €,11h 0m,20:05,14:05,1 escale,Lufthansa
9,Luxembourg,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",607 €,11h 0m,20:05,14:05,1 escale,Plusieurs compagnies
10,Luxembourg,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",392 €,17h 5m,17:40,17:45,2 escales,TAP Air Portugal
11,Luxembourg,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",489 €,13h 50m,18:25,15:15,1 escale,Plusieurs compagnies
12,Luxembourg,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",520 €,13h 15m,23:15,19:30,1 escale,Plusieurs compagnies
13,Luxembourg,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",436 €,16h 20m,22:45,22:05,2 escales,TAP Air Portugal
14,Luxembourg,30/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",598 €,12h 5m,18:55,14:00,1 escale,Air France
